Building Age,Number of Beetle,Locality Division
Above 10 Years, 11 - 15,Village
Under 5 Years,0,Village
Above 10 Years, 1 - 5,Municipality
Above 10 Years, Above 15,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, Above 15,Municipality
5-10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, 1 - 5,Village
Above 10 Years, Above 15,Village
Above 10 Years, 1 - 5,Municipality
Above 10 Years, 6 - 10,Village
Above 10 Years, 11 - 15,Village
5-10 Years, 1 - 5,Municipality
Above 10 Years, Above 15,Village
Under 5 Years, 6 - 10,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Municipality
5-10 Years, Above 15,Village
5-10 Years, 1 - 5,Municipality
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
5-10 Years, Above 15,Village
Above 10 Years,0,Village
Above 10 Years, Above 15,Village
Above 10 Years, 11 - 15,Municipality
Under 5 Years, 6 - 10,Village
Under 5 Years, 11 - 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, 1 - 5,Village
Above 10 Years, 11 - 15,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, 6 - 10,Village
Under 5 Years, Above 15,Village
Above 10 Years, Above 15,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, 6 - 10,Village
Above 10 Years, Above 15,Village
Above 10 Years,0,Municipality
Above 10 Years, 6 - 10,Municipality
Above 10 Years, Above 15,Village
Above 10 Years, 1 - 5,Village
Above 10 Years, Above 15,Village
5-10 Years, 1 - 5,Village
Above 10 Years, 1 - 5,Village
Above 10 Years, Above 15,Village
Above 10 Years,0,Municipality
Above 10 Years, 1 - 5,Municipality
Above 10 Years, Above 15,Village
Under 5 Years, 11 - 15,Village
Above 10 Years, 6 - 10,Village
5-10 Years, 11 - 15,Village
Above 10 Years, 1 - 5,Village
5-10 Years, 1 - 5,Village
Above 10 Years, 1 - 5,Village
Above 10 Years, Above 15,Village
Above 10 Years, Above 15,Village
